City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,naze,28.3667,129.4833,31.51,64,7,2.14,JP,1722314303
218,bafq,31.6128,55.4107,34.28,19,2,6.13,IR,1722314304
219,ilulissat,69.2167,-51.1,4.01,93,100,0.0,GL,1722314305
220,de aar,-30.6497,24.0123,1.08,52,0,0.71,ZA,1722314306
221,kasongo-lunda,-6.4667,16.8167,15.94,78,7,0.74,CD,1722314307
222,traverse city,44.7631,-85.6206,21.3,97,100,1.57,US,1722314309
223,berehove,48.2056,22.6442,14.97,54,6,3.33,UA,1722314310
224,kununurra,-15.7667,128.7333,28.99,24,79,4.12,AU,1722314311
225,luanda,-8.8368,13.2343,19.0,82,30,1.54,AO,1722314313
226,guangyuan,32.442,105.823,31.45,52,30,1.89,CN,1722314314
227,vigan,17.5747,120.3869,31.07,78,100,5.59,PH,1722314315
228,port alfred,-33.5906,26.891,13.1,64,26,10.81,ZA,1722314316
229,mejit,10.2753,170.8646,28.08,81,84,8.5,MH,1722314317
230,berdigestyakh,62.0989,126.6992,19.37,42,32,6.02,RU,1722314319
231,mount gambier,-37.8333,140.7667,14.04,47,94,1.91,AU,1722314320
232,plesetsk,62.708,40.2916,14.09,86,100,1.85,RU,1722314322
233,udachny,66.4167,112.4,15.33,48,43,6.72,RU,1722314325
234,tucumcari,35.1717,-103.725,28.91,32,0,2.57,US,1722314327
235,seini,47.75,23.2833,14.79,87,0,0.0,RO,1722314329
236,mount pearl,47.5166,-52.7813,20.81,94,20,13.89,CA,1722314331
237,luderitz,-26.6481,15.1594,9.91,78,0,7.45,NA,1722314333
238,portland,45.5234,-122.6762,20.33,91,100,0.89,US,1722313457
239,fruitland,38.3221,-75.6202,24.96,85,0,3.09,US,1722314336
240,dakoro,14.5106,6.765,27.12,69,74,5.92,NE,1722314337
241,nuku'alofa,-21.1333,-175.2,22.19,64,40,6.69,TO,1722314339
242,piney green,34.716,-77.3202,26.64,81,100,0.0,US,1722314340
243,fortuna,40.5982,-124.1573,16.66,94,75,2.57,US,1722314341
244,happy valley-goose bay,53.3168,-60.3315,21.17,64,20,3.09,CA,1722314343
245,itoman,26.1247,127.6694,32.01,74,40,5.66,JP,1722314344
246,port elizabeth,-33.918,25.5701,12.16,75,0,7.2,ZA,1722314346
247,pizhou,34.3114,117.9503,35.12,60,1,4.58,CN,1722314347
248,turar ryskulov,42.5333,70.3333,31.87,15,32,4.81,KZ,1722314348
249,kharp,66.8014,65.8081,17.33,91,100,3.41,RU,1722314349
250,at taj,24.2049,23.2857,28.67,20,84,2.48,LY,1722314351
251,kavieng,-2.5744,150.7967,28.03,78,95,3.35,PG,1722314352
252,galveston,29.3669,-94.9669,28.87,87,68,0.45,US,1722314354
253,kapit,2.0167,112.9333,30.19,79,40,1.4,MY,1722314357
254,arkalyk,50.2486,66.9114,26.22,30,71,8.34,KZ,1722314359
255,kiama,-34.6833,150.8667,15.88,57,95,2.68,AU,1722314360
256,miyako,39.6367,141.9525,28.78,64,54,2.18,JP,1722314362
257,masterton,-40.9597,175.6575,7.83,97,84,4.1,NZ,1722314363
258,slave lake,55.2834,-114.769,15.99,82,0,2.57,CA,1722314364
259,santana,-0.0583,-51.1817,26.1,94,40,2.06,BR,1722314365
260,porto novo,6.4965,2.6036,24.9,88,93,3.67,BJ,1722314366
261,prince rupert,54.3161,-130.3201,15.05,100,100,2.06,CA,1722314368
262,ishimbay,53.4545,56.0415,18.69,89,100,5.03,RU,1722314369
263,rongelap,11.1635,166.8941,28.02,79,76,7.76,MH,1722314370
264,iskateley,67.6803,53.1512,16.29,65,99,5.13,RU,1722314371
265,nueva esperanza,15.2667,-87.6,25.79,96,72,0.76,HN,1722314372
266,pisco,-13.7,-76.2167,14.03,88,100,2.06,PE,1722314374
267,hirara,24.8,125.2833,32.15,79,75,4.63,JP,1722314375
268,ust-nera,64.5667,143.2,17.05,67,99,2.32,RU,1722314376
269,alotau,-10.3069,150.4462,25.08,86,91,2.68,PG,1722314378
270,pangai,-19.8,-174.35,25.06,50,40,7.2,TO,1722314379
271,san antonio de pale,-1.4014,5.6325,22.67,74,98,3.05,GQ,1722314380
272,akrehamn,59.2667,5.1833,17.45,82,75,4.63,NO,1722314381
273,cape coast,5.1053,-1.2466,22.7,93,96,3.62,GH,1722314382
274,al ghayzah,16.2079,52.176,27.36,80,100,0.83,YE,1722314384
275,tete,-16.1564,33.5867,21.05,73,75,3.09,MZ,1722314385
276,queanbeyan,-35.35,149.2333,12.47,47,5,6.17,AU,1722314386
277,punta arenas,-53.15,-70.9167,2.06,93,20,4.12,CL,1722314387
278,colonia,50.9333,6.95,17.76,82,0,3.09,DE,1722314388
279,terenozek,45.05,64.9833,31.19,20,100,5.44,KZ,1722314390
